text,labels,PRODUCT_POSITIVE,PRODUCT_NEGATIVE,PRODUCT_NEUTRAL,PRICE_POSITIVE,PRICE_NEGATIVE,PRICE_NEUTRAL,PLACE_POSITIVE,PLACE_NEGATIVE,PLACE_NEUTRAL,PROMOTION_POSITIVE,PROMOTION_NEGATIVE,PROMOTION_NEUTRAL,OUT_OF_TOPIC,clean_text
"Bisa self checkout jadi gak usah antri mau bayar, keren sih packing sendiri bayar sendiri",['PLACE_POSITIVE'],0,0,0,0,0,0,1,0,0,0,0,0,0,bisa self checkout jadi gak usah antri mau bayar keren sih packing sendiri bayar sendiri
"Pelayanan baik, kualitas produk sangat baik",['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,pelayanan baik kualitas produk sangat baik
"Lagi milih milih , mbak nya malah beberes terus di tempatku , kuliat di lipat lg, di liat di lipat lg, baru ku pegang dah di lipet lg persis di seblahku. jadi risih. Kurang ramah jg di bgian kasir, yg ramah cuma mbak mbak yg di fitting room .",['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,lagi milih milih mbak nya malah beberes terus di tempatku kuliat di lipat lg di liat di lipat lg baru ku pegang dah di lipet lg persis di seblahku jadi risih kurang ramah jg di bgian kasir yg ramah cuma mbak mbak yg di fitting room
"Kak, kalo tuker size bisa ga ya?
Beli tadi siang",['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,kak kalo tuker size bisa ga ya beli tadi siang
"Seperti outlet UniQlo yang lain bersih,rapi dan dingin.. sayang yang dicari sizenya nga ada","['PRODUCT_NEGATIVE', 'PLACE_POSITIVE']",0,1,0,0,0,0,1,0,0,0,0,0,0,seperti outlet uniqlo yang lain bersih rapi dan dingin sayang yang dicari sizenya nga ada
"Uniqlo pakuwon. Item lengkap, harga oke, cocok untuk pilihan belanja","['PRODUCT_POSITIVE', 'PRICE_POSITIVE', 'PLACE_POSITIVE']",1,0,0,1,0,0,1,0,0,0,0,0,0,uniqlo pakuwon item lengkap harga oke cocok untuk pilihan belanja
"Uniqlo emang bahannya bagus bagus, nyaman dan awet awet sebenernya. Paling ada beberapa bahan aja yang emang cepat pudar.","['PRODUCT_POSITIVE', 'PRODUCT_NEGATIVE']",1,1,0,0,0,0,0,0,0,0,0,0,0,uniqlo emang bahannya bagus bagus nyaman dan awet awet sebenernya paling ada beberapa bahan aja yang emang cepat pudar
Tahukah kamu kalau harga yg ada di Uniqlo Pakuwon lebih murah daripada yg di Amplaz? (⁠｡⁠•̀⁠ᴗ⁠-⁠)⁠✧. Pokoknya jd salah satu tenant belanja favorit kalo main ke Pakuwon.,['PRICE_POSITIVE'],0,0,0,1,0,0,0,0,0,0,0,0,0,tahukah kamu kalau harga yg ada di uniqlo pakuwon lebih murah daripada yg di amplaz pokoknya jd salah satu tenant belanja favorit kalo main ke pakuwon
Gk lupa slalu beli uniqlo,['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,gk lupa slalu beli uniqlo
Nah ini nyaman belanja Di tempat seperti ini...,['PLACE_POSITIVE'],0,0,0,0,0,0,1,0,0,0,0,0,0,nah ini nyaman belanja di tempat seperti ini
"Pokoknya puas banget belanja di uniqlo.. staffnya ramah2... semua item bisa dicoba. Kecuali warna putih ya... dan item2 dalam kemasan juga boleh dicoba. Tp jangan dibuka sendiri. Karena ada contoh yang d hanger, khusus buat dicoba...",['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,pokoknya puas banget belanja di uniqlo staffnya ramah2 semua item bisa dicoba kecuali warna putih ya dan item2 dalam kemasan juga boleh dicoba tp jangan dibuka sendiri karena ada contoh yang d hanger khusus buat dicoba
Tempat yg oke untuk belanja sesuai kategori,[],0,0,0,0,0,0,0,0,0,0,0,0,0,tempat yg oke untuk belanja sesuai kategori
"storenya luas, bagus juga seluruh stoknya tersedia. hanya saja pembayaran melalui QRIS belum bisa dilakukan disini.","['PRODUCT_POSITIVE', 'PLACE_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,1,0,0,0,0,0,1,storenya luas bagus juga seluruh stoknya tersedia hanya saja pembayaran melalui qris belum bisa dilakukan disini
"Ini salah satu toko kegemaran anak bungsuku.....anak muda banget.... koleksi nya bagus-bagus and kekinian, selalu update koleksi.....","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,ini salah satu toko kegemaran anak bungsuku anak muda banget koleksi nya bagus bagus and kekinian selalu update koleksi
"Suka jalan di sini, tapi bila butuh ukuran xxl gunakan aplikasi ya",['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,suka jalan di sini tapi bila butuh ukuran xxl gunakan aplikasi ya
Jaket pilihan aku dan anak ku sama ...bagus itu,['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,jaket pilihan aku dan anak ku sama bagus itu
"Luas, nyaman, mudah dicapai dan pelayanan cepat dan ramah.","['PLACE_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,1,0,0,0,0,0,1,luas nyaman mudah dicapai dan pelayanan cepat dan ramah
"Servicenya , koleksinya cukup lengkap.",['PRODUCT_POSITIVE'],1,0,0,0,0,0,0,0,0,0,0,0,0,servicenya koleksinya cukup lengkap
Selalu ramai dan slalu ada model baru or sale,"['PRICE_NEUTRAL', 'PRODUCT_POSITIVE', 'PROMOTION_POSITIVE']",1,0,0,0,0,1,0,0,0,1,0,0,0,selalu ramai dan slalu ada model baru or sale
masih biasa saja jenis barangnya dan harganya masih harga premium bagi saya....dan ukurannya tidak ada yg sesuai utk saya hehehe...,"['PRODUCT_NEUTRAL', 'PRICE_NEGATIVE', 'PRODUCT_NEGATIVE']",0,1,1,0,1,0,0,0,0,0,0,0,0,masih biasa saja jenis barangnya dan harganya masih harga premium bagi saya dan ukurannya tidak ada yg sesuai utk saya hehehe
Lebih nyaman milih di uniqlo hartono. Di amplaz lebih sempit,"['PLACE_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,1,0,0,0,0,0,1,lebih nyaman milih di uniqlo hartono di amplaz lebih sempit
Beli tas yg harganya murah tp kualitas baguss,"['PRODUCT_POSITIVE', 'PRICE_POSITIVE']",1,0,0,1,0,0,0,0,0,0,0,0,0,beli tas yg harganya murah tp kualitas baguss
"Seperti uniqlo pada umumnya, pelayanan baik","['PLACE_NEUTRAL', 'OUT_OF_TOPIC']",0,0,0,0,0,0,0,0,1,0,0,0,1,seperti uniqlo pada umumnya pelayanan baik
"Pilihan itemnya banyak, bahannya bagus bagus, tinggal pilih model yang cocok.
Pegawainya ramah ramah","['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,pilihan itemnya banyak bahannya bagus bagus tinggal pilih model yang cocok pegawainya ramah ramah
Slalu menjadi tempat favorite.karena pilihannya banyak dan ngga ngebosenin untuk yg dihartono.mantap deh,"['OUT_OF_TOPIC', 'PRODUCT_POSITIVE']",1,0,0,0,0,0,0,0,0,0,0,0,1,slalu menjadi tempat favorite karena pilihannya banyak dan ngga ngebosenin untuk yg dihartono mantap deh
Suka berbelanja di sini. Sering ada diskon yg asik,"['PROMOTION_POSITIVE', 'OUT_OF_TOPIC']",0,0,0,0,0,0,0,0,0,1,0,0,1,suka berbelanja di sini sering ada diskon yg asik
"Lokasi berada di Hartono Mall Yogyakarta
Tempat membeli pakaian dengan banyak pilihan model dan harga variatif. .lengkap sekali
Kesini saat new normal kemarin wajib menerapkan protokol kesehatan
Enaknya bisa milih pakaian sepuasnya soalnya lagi sepi
Sayangnya didalam tidak ada tempat duduk , capek muter2 mau bingung mau cari tempat istirahat sebentar buat duduk. .atau saya gak lihat
Selalu ramai pengunjung","['PLACE_NEUTRAL', 'PLACE_NEGATIVE', 'PRODUCT_POSITIVE', 'PRICE_NEUTRAL']",1,0,0,0,0,1,0,1,1,0,0,0,0,lokasi berada di hartono mall yogyakarta tempat membeli pakaian dengan banyak pilihan model dan harga variatif lengkap sekali kesini saat new normal kemarin wajib menerapkan protokol kesehatan enaknya bisa milih pakaian sepuasnya soalnya lagi sepi sayangnya didalam tidak ada tempat duduk capek muter2 mau bingung mau cari tempat istirahat sebentar buat duduk atau saya gak lihat selalu ramai pengunjung
Favorit beli baju disini. Buat saya dan anak saya,['OUT_OF_TOPIC'],0,0,0,0,0,0,0,0,0,0,0,0,1,favorit beli baju disini buat saya dan anak saya
"Koleksi lengkap, rame terus, kasir banyak, pelayanan mantap.","['OUT_OF_TOPIC', 'PRODUCT_POSITIVE', 'PLACE_NEUTRAL']",1,0,0,0,0,0,0,0,1,0,0,0,1,koleksi lengkap rame terus kasir banyak pelayanan mantap
Selalu nyaman klu belanja disini... banyak pilihan dg bahan yg berkualitas,"['PRODUCT_POSITIVE', 'OUT_OF_TOPIC']",1,0,0,0,0,0,0,0,0,0,0,0,1,selalu nyaman klu belanja disini banyak pilihan dg bahan yg berkualitas
