reviewId,title,text,stars,state,reviewUrl
Ci9DQUlRQUNvZENodHljRjlvT2s5cFJHdzBRM0JxVkZKSkxUTmFRWE5yTkhWeU0xRRAB,UNIQLO PAKUWON MALL JOGJA Sleman,Banyak pilihan kaos celana dan baju lainnya. Bahannya bagus,5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5cFJHdzBRM0JxVkZKSkxUTmFRWE5yTkhWeU0xRRAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOk9pRGw0Q3BqVFJJLTNaQXNrNHVyM1E%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT2tGV1RtNUlSV3hFTkhCaE9FUkVRWGx2U1RWamNtYxAB,UNIQLO PAKUWON MALL JOGJA Sleman,"Belanja di Uniqlo selalu menyenangkan. Kualitas bajunya juara, bahan nyaman dan awet dipakai lama. Koleksi kaos dan jaketnya simpel tapi tetap stylish buat sehari-hari. Penataan toko sangat rapi dan stafnya sigap membantu cari ukuran. Proses di kasir juga cepat meskipun antre. Store favorit di Jogja",5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGV1RtNUlSV3hFTkhCaE9FUkVRWGx2U1RWamNtYxAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOkFWTm5IRWxENHBhOEREQXlvSTVjcmc%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT25GSk5XbGlTVjgxUVdSMk1IRklVRzlZZGtKWVMyYxAB,UNIQLO PAKUWON MALL JOGJA Sleman,"Koleksinya semakin banyak dan update..
Juga banyak value buy utk barang tertentu..
Dan yg ditunggu koleksi UT nya...
Mantab..",5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GSk5XbGlTVjgxUVdSMk1IRklVRzlZZGtKWVMyYxAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOnFJNWliSV81QWR2MHFIUG9YdkJYS2c%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT2s5emNUWTBMVTlGTkhOa1MybG1XVU55ZEcxS2ExRRAB,UNIQLO PAKUWON MALL JOGJA Sleman,Diskonnya banyak pelayanan juga ramah,5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5emNUWTBMVTlGTkhOa1MybG1XVU55ZEcxS2ExRRAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOk9zcTY0LU9FNHNkS2lmWUNydG1Ka1E%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT21KUWNtRXhVRmhNVkVvd1IybExPRTFSY25wMmJIYxAB,UNIQLO PAKUWON MALL JOGJA Sleman,Kualitas bajunya bagus. Kainnya adem,5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KUWNtRXhVRmhNVkVvd1IybExPRTFSY25wMmJIYxAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOmJQcmExUFhMVEowR2lLOE1Rcnp2bHc%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT2xwd1EzcEtXRkEwYzNwRVlXOXFRbVF3UWtSeE5HYxAB,UNIQLO PAKUWON MALL JOGJA Sleman," Parkir: Ga bayar (karena naik GrabCar) 
✅ Interior: Lumayan luas ✨

Salah satu wishlist saya di sini yaitu Br*T*p (sebagai warga yang berdomisili di daerah kepulauan region Sumatra), hanya bisa menatap saja waktu itu secara langsung 

Semoga next time bisa kebeli ",5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xwd1EzcEtXRkEwYzNwRVlXOXFRbVF3UWtSeE5HYxAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOlpwQ3pKWFA0c3pEYW9qQmQwQkRxNGc%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT21WWVVrbG9VemQ0T0hCeGVYSkhNa05tVjBWeFZGRRAB,UNIQLO PAKUWON MALL JOGJA Sleman,pda psen mkanan gk mau turun,1,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21WWVVrbG9VemQ0T0hCeGVYSkhNa05tVjBWeFZGRRAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOmVYUkloUzd4OHBxeXJHMkNmV0VxVFE%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT25SWlVreFBWRFpSV0dOVFNqTkhlWE00YTBoMGFuYxAB,UNIQLO PAKUWON MALL JOGJA Sleman,Kesini buat beli baju anak. Koleksinya bagus².,5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SWlVreFBWRFpSV0dOVFNqTkhlWE00YTBoMGFuYxAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOnRZUkxPVDZRWGNTSjNHeXM4a0h0anc%7C%7C?hl=en
Ci9DQUlRQUNvZENodHljRjlvT21aUkxWUkRXbTB3Y0ZCVlRGbHZkMkYxVXpOdVJtYxAB,UNIQLO PAKUWON MALL JOGJA Sleman,"ambil sesuai hanger size M dan S
aku sebelum bayar udah makesure sama kasir 2x yg navy M yg cream S & M

aku makesure, sepertinya masnya ngga cek cuma bilang iya iya mungkinan karna udah mau tutup jam 21.45 dan antrian panjang

sampe rumah aku cek ternyata salah hmmmm",1,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21aUkxWUkRXbTB3Y0ZCVlRGbHZkMkYxVXpOdVJtYxAB!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CAIQACodChtycF9oOmZRLVRDWm0wcFBVTFlvd2F1UzNuRmc%7C%7C?hl=en
ChZDSUhNMG9nS0VQMmQxTnZxd28ybEtBEAE,UNIQLO PAKUWON MALL JOGJA Sleman,"Koleksinya cakep-cakep. Dunia fashion cukup variatif, baik model, warna maupun ukurannya. Untuk anak muda, memang trendy dan fashionable.  Display menarik n bikin nyaman milih-milihnya.  Karyawan cukup baik membantu kastemer. Nerangin produk maupun mengambilkan koleksi atau ukuran lain. Harga cukup terjangkau. Mantabz !",5,Special Region of Yogyakarta,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VQMmQxTnZxd28ybEtBEAE!2m1!1s0x0:0x4d403ba7a71e1e18!3m1!1s2@1:CIHM0ogKEP2d1Nvqwo2lKA%7C%7C?hl=en
